"filename", "language", "C++", "Markdown", "C", "Objective-C", "CMake", "F#", "comment", "blank", "total"
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\number_precision.inl", "C++", 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\optimum_pow.hpp", "C++", 21, 0, 0, 0, 0, 0, 24, 10, 55
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\optimum_pow.inl", "C++", 18, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\orthonormalize.hpp", "C++", 19, 0, 0, 0, 0, 0, 22, 9, 50
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\orthonormalize.inl", "C++", 22, 0, 0, 0, 0, 0, 1, 7, 30
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\perpendicular.hpp", "C++", 16, 0, 0, 0, 0, 0, 18, 8, 42
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\perpendicular.inl", "C++", 8, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\polar_coordinates.hpp", "C++", 19, 0, 0, 0, 0, 0, 21, 9, 49
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\polar_coordinates.inl", "C++", 30, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\projection.hpp", "C++", 15, 0, 0, 0, 0, 0, 21, 8, 44
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\projection.inl", "C++", 8, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\quaternion.hpp", "C++", 78, 0, 0, 0, 0, 0, 73, 24, 175
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\quaternion.inl", "C++", 128, 0, 0, 0, 0, 0, 9, 23, 160
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\range.hpp", "C++", 66, 0, 0, 0, 0, 0, 15, 18, 99
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\raw_data.hpp", "C++", 18, 0, 0, 0, 0, 0, 23, 11, 52
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\raw_data.inl", "C++", 0, 0, 0, 0, 0, 0, 1, 2, 3
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\rotate_normalized_axis.hpp", "C++", 25, 0, 0, 0, 0, 0, 35, 9, 69
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\rotate_normalized_axis.inl", "C++", 46, 0, 0, 0, 0, 0, 2, 11, 59
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\rotate_vector.hpp", "C++", 63, 0, 0, 0, 0, 0, 43, 18, 124
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\rotate_vector.inl", "C++", 149, 0, 0, 0, 0, 0, 18, 21, 188
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\scalar_multiplication.hpp", "C++", 53, 0, 0, 0, 0, 0, 13, 10, 76
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\scalar_relational.hpp", "C++", 13, 0, 0, 0, 0, 0, 15, 9, 37
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\scalar_relational.inl", "C++", 78, 0, 0, 0, 0, 0, 1, 10, 89
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\spline.hpp", "C++", 35, 0, 0, 0, 0, 0, 21, 10, 66
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\spline.inl", "C++", 51, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\std_based_type.hpp", "C++", 22, 0, 0, 0, 0, 0, 32, 15, 69
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\std_based_type.inl", "C++", 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\string_cast.hpp", "C++", 23, 0, 0, 0, 0, 0, 21, 9, 53
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\string_cast.inl", "C++", 427, 0, 0, 0, 0, 0, 1, 65, 493
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\texture.hpp", "C++", 17, 0, 0, 0, 0, 0, 21, 9, 47
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\texture.inl", "C++", 13, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\transform.hpp", "C++", 24, 0, 0, 0, 0, 0, 27, 10, 61
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\transform.inl", "C++", 18, 0, 0, 0, 0, 0, 1, 5, 24
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\transform2.hpp", "C++", 32, 0, 0, 0, 0, 0, 40, 18, 90
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\transform2.inl", "C++", 110, 0, 0, 0, 0, 0, 1, 15, 126
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\type_aligned.hpp", "C++", 231, 0, 0, 0, 0, 0, 468, 284, 983
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\type_aligned.inl", "C++", 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\type_trait.hpp", "C++", 59, 0, 0, 0, 0, 0, 15, 12, 86
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\type_trait.inl", "C++", 51, 0, 0, 0, 0, 0, 5, 6, 62
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\vec_swizzle.hpp", "C++", 1947, 0, 0, 0, 0, 0, 347, 489, 2783
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\vector_angle.hpp", "C++", 22, 0, 0, 0, 0, 0, 26, 10, 58
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\vector_angle.inl", "C++", 36, 0, 0, 0, 0, 0, 2, 7, 45
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\vector_query.hpp", "C++", 27, 0, 0, 0, 0, 0, 27, 13, 67
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\vector_query.inl", "C++", 128, 0, 0, 0, 0, 0, 1, 26, 155
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\wrap.hpp", "C++", 16, 0, 0, 0, 0, 0, 15, 7, 38
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\wrap.inl", "C++", 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\integer.hpp", "C++", 55, 0, 0, 0, 0, 0, 139, 19, 213
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat2x2.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat2x3.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat2x4.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat3x2.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat3x3.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat3x4.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat4x2.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat4x3.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\mat4x4.hpp", "C++", 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\matrix.hpp", "C++", 78, 0, 0, 0, 0, 0, 63, 21, 162
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\packing.hpp", "C++", 20, 0, 0, 0, 0, 0, 136, 18, 174
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\common.h", "C++", 197, 0, 0, 0, 0, 0, 11, 33, 241
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\exponential.h", "C++", 12, 0, 0, 0, 0, 0, 2, 7, 21
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\geometric.h", "C++", 105, 0, 0, 0, 0, 0, 2, 18, 125
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\integer.h", "C++", 63, 0, 0, 0, 0, 0, 29, 24, 116
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\matrix.h", "C++", 546, 0, 0, 0, 0, 0, 310, 173, 1029
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\neon.h", "C++", 144, 0, 0, 0, 0, 0, 2, 10, 156
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\packing.h", "C++", 3, 0, 0, 0, 0, 0, 2, 4, 9
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\platform.h", "C++", 343, 0, 0, 0, 0, 0, 21, 35, 399
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\trigonometric.h", "C++", 3, 0, 0, 0, 0, 0, 2, 5, 10
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\simd\vector_relational.h", "C++", 3, 0, 0, 0, 0, 0, 2, 4, 9
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\trigonometric.hpp", "C++", 37, 0, 0, 0, 0, 0, 153, 21, 211
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\vec2.hpp", "C++", 11, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\vec3.hpp", "C++", 11, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\vec4.hpp", "C++", 11, 0, 0, 0, 0, 0, 2, 3, 16
"c:\Users\msi\source\repos\LearnOpenGL\include\glm\vector_relational.hpp", "C++", 25, 0, 0, 0, 0, 0, 82, 15, 122
"c:\Users\msi\source\repos\LearnOpenGL\include\mesh.h", "C++", 94, 0, 0, 0, 0, 0, 19, 24, 137
"c:\Users\msi\source\repos\LearnOpenGL\include\model.h", "C++", 162, 0, 0, 0, 0, 0, 17, 39, 218
"c:\Users\msi\source\repos\LearnOpenGL\include\shader_m.h", "C++", 133, 0, 0, 0, 0, 0, 27, 6, 166
"c:\Users\msi\source\repos\LearnOpenGL\include\stb_image.h", "C++", 5265, 0, 0, 0, 0, 0, 1153, 776, 7194
"c:\Users\msi\source\repos\LearnOpenGL\lib\cmake\assimp-5.3\assimpConfig.cmake", "CMake", 0, 0, 0, 0, 26, 0, 0, 8, 34
"c:\Users\msi\source\repos\LearnOpenGL\lib\cmake\assimp-5.3\assimpConfigVersion.cmake", "CMake", 0, 0, 0, 0, 56, 0, 0, 10, 66
"c:\Users\msi\source\repos\LearnOpenGL\lib\cmake\assimp-5.3\assimpTargets-release.cmake", "CMake", 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\msi\source\repos\LearnOpenGL\lib\cmake\assimp-5.3\assimpTargets.cmake", "CMake", 0, 0, 0, 0, 96, 0, 0, 15, 111
"c:\Users\msi\source\repos\LearnOpenGL\proj10_camera\src\camera_mov.cpp", "C++", 202, 0, 0, 0, 0, 0, 22, 57, 281
"c:\Users\msi\source\repos\LearnOpenGL\proj10_camera\src\camera_mov.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj10_camera\src\camera_test.cpp", "C++", 193, 0, 0, 0, 0, 0, 21, 55, 269
"c:\Users\msi\source\repos\LearnOpenGL\proj10_camera\src\camera_test.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj10_camera\src\camera_zoom.cpp", "C++", 229, 0, 0, 0, 0, 0, 25, 50, 304
"c:\Users\msi\source\repos\LearnOpenGL\proj10_camera\src\camera_zoom.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj10_camera\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj11_colors\shaders\colors.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\msi\source\repos\LearnOpenGL\proj11_colors\shaders\light_cube.fs", "F#", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\msi\source\repos\LearnOpenGL\proj11_colors\src\colors.cpp", "C++", 182, 0, 0, 0, 0, 0, 32, 59, 273
"c:\Users\msi\source\repos\LearnOpenGL\proj11_colors\src\colors.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj11_colors\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\shaders\basic_lighting.fs", "F#", 0, 0, 0, 0, 0, 18, 2, 4, 24
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\shaders\gouraud_specular_basic_lighting.fs", "F#", 0, 0, 0, 0, 0, 24, 3, 9, 36
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\shaders\light_cube.fs", "F#", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\shaders\specular_basic_lighting.fs", "F#", 0, 0, 0, 0, 0, 23, 3, 9, 35
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\src\diffuse.cpp", "C++", 184, 0, 0, 0, 0, 0, 26, 59, 269
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\src\diffuse.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\src\specular.cpp", "C++", 192, 0, 0, 0, 0, 0, 18, 65, 275
"c:\Users\msi\source\repos\LearnOpenGL\proj12_diffuse\src\specular.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\shaders\3.2.light_cube.fs", "F#", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\shaders\3.2.materials.fs", "F#", 0, 0, 0, 0, 0, 33, 3, 9, 45
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\shaders\light_cube.fs", "F#", 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\shaders\material.fs", "F#", 0, 0, 0, 0, 0, 34, 3, 13, 50
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\src\exec1.cpp", "C++", 188, 0, 0, 0, 0, 0, 53, 54, 295
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\src\exec1.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\src\material.cpp", "C++", 201, 0, 0, 0, 0, 0, 29, 62, 292
"c:\Users\msi\source\repos\LearnOpenGL\proj13_material\src\material.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\shaders\light_cube.fs", "F#", 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\shaders\lighting_maps_diffuse.fs", "F#", 0, 0, 0, 0, 0, 33, 3, 14, 50
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\shaders\lighting_maps_specular.fs", "F#", 0, 0, 0, 0, 0, 35, 3, 15, 53
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\src\diffuse.cpp", "C++", 236, 0, 0, 0, 0, 0, 31, 73, 340
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\src\diffuse.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\src\specular.cpp", "C++", 245, 0, 0, 0, 0, 0, 33, 76, 354
"c:\Users\msi\source\repos\LearnOpenGL\proj14_lightmap\src\specular.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\shaders\light_cube.fs", "F#", 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\shaders\lighting_cast_direction.fs", "F#", 0, 0, 0, 0, 0, 34, 6, 15, 55
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\shaders\lighting_cast_point.fs", "F#", 0, 0, 0, 0, 0, 39, 6, 17, 62
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\src\light_direction.cpp", "C++", 258, 0, 0, 0, 0, 0, 25, 82, 365
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\src\light_direction.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\src\light_point.cpp", "C++", 262, 0, 0, 0, 0, 0, 24, 82, 368
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\src\light_point.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj15_lightcast\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\msi\source\repos\LearnOpenGL\proj16_lightmultiple\shaders\light_cube.fs", "F#", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\msi\source\repos\LearnOpenGL\proj16_lightmultiple\shaders\lighting_multiple.fs", "F#", 0, 0, 0, 0, 0, 63, 10, 26, 99
"c:\Users\msi\source\repos\LearnOpenGL\proj16_lightmultiple\src\light_multiple.cpp", "C++", 289, 0, 0, 0, 0, 0, 29, 85, 403
"c:\Users\msi\source\repos\LearnOpenGL\proj16_lightmultiple\src\light_multiple.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj16_lightmultiple\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\msi\source\repos\LearnOpenGL\proj17_models\shaders\light_cube.fs", "F#", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\msi\source\repos\LearnOpenGL\proj17_models\shaders\model_loading.fs", "F#", 0, 0, 0, 0, 0, 52, 8, 17, 77
"c:\Users\msi\source\repos\LearnOpenGL\proj17_models\src\main.cpp", "C++", 219, 0, 0, 0, 0, 0, 26, 57, 302
"c:\Users\msi\source\repos\LearnOpenGL\proj18_depth_testing\shaders\depth_testing.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj18_depth_testing\shaders\depth_view.fs", "F#", 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\msi\source\repos\LearnOpenGL\proj18_depth_testing\src\depth_testing.cpp", "C++", 235, 0, 0, 0, 0, 0, 22, 67, 324
"c:\Users\msi\source\repos\LearnOpenGL\proj18_depth_testing\src\depth_testing.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj18_depth_testing\src\depth_view.cpp", "C++", 235, 0, 0, 0, 0, 0, 22, 67, 324
"c:\Users\msi\source\repos\LearnOpenGL\proj18_depth_testing\src\depth_view.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj18_depth_testing\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj19_stencil_testing\shaders\stencil_single_color.fs", "F#", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\msi\source\repos\LearnOpenGL\proj19_stencil_testing\shaders\stencil_testing.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj19_stencil_testing\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj19_stencil_testing\src\stencil_testing.cpp", "C++", 268, 0, 0, 0, 0, 0, 29, 71, 368
"c:\Users\msi\source\repos\LearnOpenGL\proj19_stencil_testing\src\stencil_testing.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj20_blending\shaders\blending_discard.fs", "F#", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\msi\source\repos\LearnOpenGL\proj20_blending\shaders\blending_sort.fs", "F#", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\msi\source\repos\LearnOpenGL\proj20_blending\src\blending_discard.cpp", "C++", 271, 0, 0, 0, 0, 0, 28, 66, 365
"c:\Users\msi\source\repos\LearnOpenGL\proj20_blending\src\blending_discard.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj20_blending\src\blending_sort.cpp", "C++", 281, 0, 0, 0, 0, 0, 28, 71, 380
"c:\Users\msi\source\repos\LearnOpenGL\proj20_blending\src\blending_sort.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj20_blending\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj21_face_culling\shaders\face_culling.fs", "F#", 0, 0, 0, 0, 0, 15, 1, 2, 18
"c:\Users\msi\source\repos\LearnOpenGL\proj21_face_culling\src\face_culling.cpp", "C++", 239, 0, 0, 0, 0, 0, 22, 69, 330
"c:\Users\msi\source\repos\LearnOpenGL\proj21_face_culling\src\face_culling.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj21_face_culling\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj22_framebuffer\shaders\framebuffer.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\msi\source\repos\LearnOpenGL\proj22_framebuffer\shaders\framebuffer_screen.fs", "F#", 0, 0, 0, 0, 0, 16, 0, 6, 22
"c:\Users\msi\source\repos\LearnOpenGL\proj22_framebuffer\src\framebuffer.cpp", "C++", 290, 0, 0, 0, 0, 0, 32, 75, 397
"c:\Users\msi\source\repos\LearnOpenGL\proj22_framebuffer\src\framebuffer.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj22_framebuffer\src\framebuffer_mirror.cpp", "C++", 336, 0, 0, 0, 0, 0, 39, 78, 453
"c:\Users\msi\source\repos\LearnOpenGL\proj22_framebuffer\src\framebuffer_mirror.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj22_framebuffer\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\shaders\cubemaps.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\shaders\env_cubemaps.fs", "F#", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\shaders\env_skybox.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\shaders\skybox.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\src\cubemaps_env.cpp", "C++", 331, 0, 0, 0, 0, 0, 38, 75, 444
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\src\cubemaps_env.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\src\cubemaps_skybox.cpp", "C++", 333, 0, 0, 0, 0, 0, 34, 75, 442
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\src\cubemaps_skybox.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\msi\source\repos\LearnOpenGL\proj23_cubemaps\src\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\msi\source\repos\LearnOpenGL\proj24_advanced_glsl\shaders\blue.fs", "F#", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj24_advanced_glsl\shaders\green.fs", "F#", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj24_advanced_glsl\shaders\red.fs", "F#", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj24_advanced_glsl\shaders\yellow.fs", "F#", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj24_advanced_glsl\src\main.cpp", "C++", 261, 0, 0, 0, 0, 0, 32, 61, 354
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\shaders\asteroids.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\shaders\asteroids_instancing.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\shaders\instancing_quad.fs", "F#", 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\shaders\planet.fs", "F#", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\src\asteroids.cpp", "C++", 182, 0, 0, 0, 0, 0, 17, 53, 252
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\src\asteroids.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\src\asteroids_instancing.cpp", "C++", 179, 0, 0, 0, 0, 0, 20, 54, 253
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\src\asteroids_instancing.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\src\instancing_quad.cpp", "C++", 210, 0, 0, 0, 0, 0, 24, 54, 288
"c:\Users\msi\source\repos\LearnOpenGL\proj25_instancing\src\instancing_quad.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
